c1_name,c2_name,c2_url,c3_sub_category_count,priority_score,is_top_20_percent
Peralatan Elektronik,"Kulkas, Chiller & Freezer",https://www.blibli.com/c2/kulkas-chiller-freezer/KU-1000002,3,Medium,False
Peralatan Elektronik,Televisi & Aksesoris,https://www.blibli.com/c2/televisi-aksesoris/TE-1000002,3,Medium,False
Fashion Muslim,Baju Bayi Muslim,https://www.blibli.com/c2/baju-bayi-muslim/BA-1000530,2,Medium,False
Fashion Muslim,Baju Muslim Set,https://www.blibli.com/c2/baju-muslim-set/BA-1000516,2,Medium,False
Fashion Muslim,Homewear Muslim Wanita,https://www.blibli.com/c2/homewear-muslim-wanita/HO-1000069,2,Medium,False
Fashion Wanita,Baju Tidur & Pakaian Dalam Wanita,https://www.blibli.com/c2/baju-tidur-pakaian-dalam-wanita/BA-1000375,2,Medium,False
Home & Living,Apartemen,https://www.blibli.com/c2/apartemen/AP-1000012,2,Medium,False
Jam Tangan,Jam Tangan Pria,https://www.blibli.com/c2/jam-tangan-pria/JA-1000008,2,Medium,False
Jam Tangan,Jam Tangan Wanita,https://www.blibli.com/c2/jam-tangan-wanita/JA-1000033,2,Medium,False
Kamera,Baterai Kamera,https://www.blibli.com/c2/baterai-kamera/BA-1000003,2,Medium,False
Komputer & Gaming,Facsimile & Refill,https://www.blibli.com/c2/facsimile-refill/FA-1000003,2,Medium,False
Komputer & Gaming,Scanner,https://www.blibli.com/c2/scanner/SC-1000001,2,Medium,False
"Mainan, Buku & Stationery",Building Sets & Blocks,https://www.blibli.com/c2/building-sets-blocks/BU-1000004,2,Medium,False
Olahraga & Aktivitas Luar Ruang,Sandal Olahraga,https://www.blibli.com/c2/sandal-olahraga/HI-1000005,2,Medium,False
Otomotif,Aksesoris Mobil,https://www.blibli.com/c2/aksesoris-mobil/IN-1000054,2,Medium,False
Otomotif,Asuransi Kendaraan,https://www.blibli.com/c2/asuransi-kendaraan/AS-1000001,2,Medium,False
Peralatan Elektronik,Mesin Cuci & Pengering,https://www.blibli.com/c2/mesin-cuci-pengering/ME-1000003,2,Medium,False
"Ticket, Vouchers & Travel",Donasi & Qurban,https://www.blibli.com/c2/donasi-qurban/BL-1000121,2,Medium,False
"Ticket, Vouchers & Travel",Event,https://www.blibli.com/c2/event/TI-1000102,2,Medium,False
"Ticket, Vouchers & Travel",Investasi & Asuransi,https://www.blibli.com/c2/investasi-asuransi/AS-1000040,2,Medium,False
Home & Living,Rumah,https://www.blibli.com/c2/rumah/RU-1000049,1,Medium,False
Kamera,Flash Kamera,https://www.blibli.com/c2/flash-kamera/FL-1000003,1,Medium,False
Kamera,Lensa Kamera,https://www.blibli.com/c2/lensa-kamera/LE-1000001,1,Medium,False
"Ticket, Vouchers & Travel",Media Digital,https://www.blibli.com/c2/media-digital/DI-1000076,1,Medium,False
Jam Tangan,Jam Tangan Premium,https://www.blibli.com/c2/jam-tangan-premium/JA-1000315,0,Medium,False
Kesehatan & Kecantikan,Pembalut & Produk Kewanitaan,https://www.blibli.com/c2/pembalut-produk-kewanitaan/PE-1000118,0,Medium,False
